,Address,Walk_Score,Transit_Score,Bike_Score
1330,"2109 Pecan Valley Ct, Cleburne, TX 76031",2,0,25
1331,"485 N Lafayette St, Denver, CO 80218",85,46,85
1332,"5090 Willow Ests, San Jose, CA 95135",15,29,51
1333,"1771-1771 Golf Course Blvd, Independence, IA 50644",2,0,28
1334,"2632 Racine Ave, Winthrop, IA 50682",0,0,21
1335,"11954 California Sister Dr, Humble, TX 77346",0,0,25
1336,"3605 Fuerte Ave, McAllen, TX 78504",2,0,26
1337,"166 Violet Ave, Poughkeepsie, NY 12601",28,23,40
1338,"5108 Don Miguel Dr, Carlsbad, CA 92010",4,26,37
1339,"Crestone Plan, Green Valley Ranch",38,0,48
1340,"610 Wildgrove Dr, Garland, TX 75041",34,32,42
1341,"10 N Whitetail Ln, Chattaroy, WA 99003",0,0,12
1342,"4663 Iowa St UNIT 4, San Diego, CA 92116",88,49,55
1343,"Lemon Ave, Escondido, CA 92029",17,18,0
1344,"16927 119th St NE, Arlington, WA 98223",0,0,0
1345,"2823 Juniper St, San Diego, CA 92104",87,48,61
1346,"676 50th St, Des Moines, IA 50312",35,29,41
1347,"1705 Yale St, Farmersville, TX 75442",9,0,29
1348,"2147 Coney Island Ave, Brooklyn, NY 11223",98,82,67
1349,"345 Crooked Ln, Mesquite, TX 75149",52,0,40
1350,"2162 Rising Glen Way, San Diego, CA 92139",29,37,13
1351,"228 Bella Vista Dr, Carroll, IA 51401",12,0,32
1352,"600 N 85th St UNIT 205, Seattle, WA 98103",88,53,89
1353,"5995 W Colgate Pl, Denver, CO 80227",33,37,63
1354,"84 N Sherman St, Denver, CO 80203",93,60,97
1355,"128 N Montgomery St, Walden, NY 12586",44,0,0
1356,"556 Central Ave, Brooklyn, NY 11207",94,87,70
1357,"939 Sapphire Ct, San Jose, CA 95136",51,42,79
1358,"132 Reservoir Rd, Marlboro, NY 12542",5,0,0
1359,"1533 E 29th Ave, Denver, CO 80205",85,55,95
1360,"213 S Walnut St, Lisbon, IA 52253",44,0,35
1361,"4540 8th Ave NE APT 304, Seattle, WA 98105",96,84,88
1362,"7721 Wolverine Dr, Corpus Christi, TX 78414",17,0,30
1363,"3038 Sheridan Blvd, Denver, CO 80214",67,40,57
1364,"3505 Talbot St, San Diego, CA 92106",63,26,28
1365,"111 Astoria Ln, Westport, WA 98595",0,0,0
1366,"16709 10th Ave NW, Lakebay, WA 98349",9,0,26
1367,"Plan Chelsea Plan, Creekside",0,0,0
1368,"1401 Jefferson St, Floral Park, NY 11001",69,0,51
1369,"2 Stevens St, Glens Falls, NY 12801",62,0,56
1370,"3506 Huntsford Dr, Houston, TX 77008",26,36,35
1371,"1622 Center St NE, Cedar Rapids, IA 52402",64,21,56
1372,"3081 S Krameria St, Denver, CO 80222",43,52,66
1373,"10322 Pioneer Dr, Corpus Christi, TX 78410",50,25,49
1374,"5660 Brook View Ave, Des Moines, IA 50317",7,0,24
1375,"27523 218th Pl SE #1, Maple Valley, WA 98038",19,0,0
1376,"372 Heritage Hls #B, Somers, NY 10589",0,0,0
1377,"1655 S Monaco Pkwy, Denver, CO 80224",43,35,85
1378,"50 S Waverly St, Kennewick, WA 99336",77,0,50
1379,"3812 W 26th Ave, Denver, CO 80211",54,36,81
1380,"7544 43rd Ave S #D, Seattle, WA 98118",81,65,82
1381,"7124 43rd Ave, Norwalk, IA 50211",0,0,10
1382,"1036 Cedar Gables Dr, San Jose, CA 95118",73,31,68
1383,"The Palermo Plan, Blanco Vista",3,0,30
1384,"Of Randolph Rd, Marion, IA 52302",76,0,57
1385,"15714 W Chamfer Way, Crosby, TX 77532",8,0,0
1386,"St. Julien Plan, Green Valley Ranch",60,32,57
1387,"390 San Antonio Ave #13, San Diego, CA 92106",52,0,0
1388,"The Bluebell Plan, Kipling Park West: Single Family Homes",52,27,67
1389,"359 Atlanta Ave, San Jose, CA 95125",69,54,95
1390,"700 S Juniper St, Escondido, CA 92025",74,41,38
1391,"809 Washington Ave, Albany, NY 12206",81,59,73
1392,"347 W 57th St APT 8C, New York, NY 10019",100,100,80
1393,"2438 N Gilpin St, Denver, CO 80205",75,54,96
1394,"1424 Puerto Lago Dr, Little Elm, TX 75068",2,0,24
1395,"855 Golden Park Ave, San Diego, CA 92106",73,28,36
1396,"Tealight 3 Plan, Tealight Portfolio at Central Park",0,0,19
1397,"3710 85th Ave NW, Olympia, WA 98502",0,0,0
1398,"Plan Ellington Plan, Creekside",0,0,0
1399,"313 S Tama St, Manchester, IA 52057",65,0,48
1400,"5550 High Country Way, Deer Park, WA 99006",0,0,0
1401,"8329 Pioneer Fld, San Antonio, TX 78253",12,0,27
1402,"0 Poinsettia Ln, Carlsbad, CA 92011",19,12,15
1403,"4944 Snow Dr, San Jose, CA 95111",12,20,36
1404,"Plan 5 Plan, Atwood at 3Roots",28,12,20
1405,"7613 320th St E, Eatonville, WA 98328",0,0,0
1406,"910 NE Trilein Dr, Ankeny, IA 50021",44,0,44
1407,"1025 Island Ave UNIT 312, San Diego, CA 92101",99,81,90
1408,"1630 Hanchett Ave, San Jose, CA 95128",84,46,75
1409,"39 Bert McCord Dr, Pine Bush, NY 12566",0,0,16
1410,"22606 Threefold Ridge Dr, Hockley, TX 77447",1,0,25
1411,"Fm 2022, Crockett, TX 75835",14,0,31
1412,"4004 N Stevens St, Spokane, WA 99205",76,43,52
1413,"775 Lafayette Ave APT 6F, Brooklyn, NY 11221",0,97,0
1414,"1002 Shoal Pointe Dr, Carter Lake, IA 51510",11,0,42
1415,"135-34 234th St, Rosedale, NY 11422",79,55,54
1416,"808 N Reed Pl, Kennewick, WA 99336",41,0,37
1417,"22 Larnard St, Potsdam, NY 13676",53,0,56
1418,"3639 Baker Rd, Kingsbury, TX 78638",0,0,25
1419,"3455 23rd Ave W #1-4, Seattle, WA 98199",11,22,38
1420,"Treviso 2 Plan, Treviso",99,0,0
1421,"3530 Alden Way, San Jose, CA 95117",54,46,52
1422,"132 N 16th St, San Jose, CA 95112",75,0,87
1423,"503 Anchorage Ave, Carlsbad, CA 92011",19,26,59
1424,"7164 Brookhaven Rd, San Diego, CA 92114",31,38,25
1425,"16156 Cayenne Creek Rd, San Diego, CA 92127",22,0,0
1426,"2150 Almaden Rd #103, San Jose, CA 95125",33,43,76
1427,"22602 56th Ave W, Mountlake Terrace, WA 98043",60,43,57
1428,"1260 N York St APT 103, Denver, CO 80206",87,52,89
1429,"5043 Wyatt Pl, San Diego, CA 92154",4,29,15
1430,"7702 Shady Hollow Ln, San Antonio, TX 78255",21,0,34
1431,"503 Regal St, Houston, TX 77034",43,0,44
1432,"109 Snake River Dr, Burbank, WA 99323",0,0,14
1433,"1075 Jasmine St, Denver, CO 80220",80,49,81
1434,"1518 McKinley Pl, Iowa City, IA 52246",22,0,75
1435,"17080 New Rochelle Way, San Diego, CA 92127",56,0,55
1436,"7944 Princess St, La Jolla, CA 92037",52,33,37
1437,"3307 Rosewood Ct NE, Cedar Rapids, IA 52402",47,20,39
1438,"7250 Eastmoor Dr APT 102, Denver, CO 80237",40,49,61
1439,"2035 Central Park Ave APT 2H, Yonkers, NY 10710",37,38,21
1440,"7609 12th Ave, Brooklyn, NY 11228",89,67,55
1441,"27 Tulip Tree Ln, Mamaroneck, NY 10543",57,21,39
1442,"1501 347th Street Ct E, Roy, WA 98580",0,0,33
1443,"The Fillmore - Painted Ladies Collection Plan, Parkwood Homes at Central Park",96,88,96
1444,"16007 Caminito De Linda, San Diego, CA 92128",22,22,15
1445,"310 E 70th St APT 8K, New York, NY 10021",0,100,0
1446,"19 Bushnell Ave, Chatham, NY 12037",0,0,0
1447,"1599 Maurice Ln, San Jose, CA 95129",62,37,62
1448,"917 2nd St, Mukilteo, WA 98275",48,0,0
1449,"642 N 2nd St, San Jose, CA 95112",83,59,92
1450,"7808 Prairie Mound Way, San Diego, CA 92139",60,42,26
1451,"399 Beckham Dr, San Jose, CA 95123",23,0,13
1452,"1519 7th Ave SE, Cedar Rapids, IA 52403",63,30,53
1453,"307 4th Ave, Charles City, IA 50616",67,0,53
1454,"2100 16th St UNIT 206, Denver, CO 80202",90,84,89
1455,"523 Highland Ct #523, Moriches, NY 11955",3,0,4
1456,"28371 Faircrest Way, Escondido, CA 92026",3,0,0
1457,"224 Coy Dr APT 4, San Jose, CA 95123",52,43,49
1458,"LOT 14 Heritage Ridge Ests, Dubuque, IA 52002",2,0,4
1459,"406 S 11th St, Adel, IA 50003",59,0,59
1460,"6780 Friars Rd UNIT 206, San Diego, CA 92108",35,59,39
1461,"Addisyn III Plan, Gateway Commons",0,0,0
1462,"160 Beards Hollow Rd, Richmondville, NY 12149",0,0,1
1463,"7422 Dakota Cir, West Des Moines, IA 50266",31,0,32
1464,"620 E Madison Ave, Des Moines, IA 50313",50,32,43
1465,"5538 Gordon Ave NW, Cedar Rapids, IA 52405",27,22,35
1466,"4430 W 35th Ave APT 6, Denver, CO 80212",77,39,67
1467,"1918 Wiggs Way, Garland, TX 75043",32,24,33
1468,"4415 Norwalk Dr APT 4, San Jose, CA 95129",59,42,69
1469,"241 Irving Tonawanda Town, Buffalo, NY 14223",42,30,44
1470,"6838 Trinidad Dr, San Jose, CA 95120",42,25,63
1471,"420 Sicard St, San Diego, CA 92113",66,52,51
1472,"26421 Crescendo Dr, Escondido, CA 92026",7,0,2
1473,"2278 Aventurine Pl, Carlsbad, CA 92009",9,22,8
1474,"192 Pine Grv, Livingston, TX 77351",0,0,24
1475,"758 216th Dr, Ogden, IA 50212",14,0,31
1476,"9691 E Iowa Ave, Denver, CO 80247",45,38,56
1477,"372 Babcock Lake Rd, Petersburgh, NY 12138",0,0,0
1478,"285 E Saint James St APT 1, San Jose, CA 95112",90,68,95
1479,"3517 Santa Flora Ct, Escondido, CA 92029",17,34,21
1480,"4215 Campus Dr NE, Olympia, WA 98516",1,18,39
1481,"13610 Twopenny Ln, Houston, TX 77015",58,0,54
1482,"1388 Kettner Blvd UNIT 2203, San Diego, CA 92101",95,79,82
1483,"689 Quincy St #3B, Brooklyn, NY 11221",92,94,62
1484,"1612 B Ave NE, Cedar Rapids, IA 52402",78,0,0
1485,"5932 Sharon Ln NW, Cedar Rapids, IA 52405",18,20,36
1486,"511 Hermes Ave, Encinitas, CA 92024",56,0,0
1487,"1254 Forest Cir, Clive, IA 50325",61,0,42
1488,"2654 State St #H, Carlsbad, CA 92008",0,0,0
1489,"19109 E 50th Dr, Denver, CO 80249",48,37,69
1490,"954 Tramonto Vista Ct, El Paso, TX 79932",0,19,0
1491,"7323 Snowden Rd APT 1107, San Antonio, TX 78240",52,52,43
1492,"220 Broadway St, Webster City, IA 50595",58,0,42
1493,"973 Wisperwood Dr, Rockwall, TX 75087",24,0,28
1494,"2708 Lange Ave, San Diego, CA 92122",13,20,23
1495,"57 Grooville Rd, Livingston Manor, NY 12758",0,0,0
1496,"7425 Charmant Dr #2705, San Diego, CA 92122",63,62,66
1497,"846 S Raleigh St, Denver, CO 80219",48,38,75
1498,"1214 Northwestern Ave, Ames, IA 50010",32,0,73
1499,"126 Seeman Dr, Encinitas, CA 92024",58,28,37
1500,"38 N Almaden Blvd UNIT 516, San Jose, CA 95110",82,71,90
1501,"7502 Jerez Ct, Carlsbad, CA 92009",15,16,19
1502,"5051 Campanile Dr, San Diego, CA 92115",73,59,63
1503,"25682 Golden Pond Rd SE, Lone Tree, IA 52755",0,0,13
1504,"1277 Lucas Avenue Ext, Kingston, NY 12401",0,0,19
1505,"1513 Walnut St, Everett, WA 98201",52,38,72
1506,"311 Caldwell Ave, Elmira, NY 14904",69,0,60
1507,"5004 Billings St, Denver, CO 80239",36,42,50
1508,"3385 Lundy Ln, Bettendorf, IA 52722",39,0,43
1509,"6961 Barker Way, San Diego, CA 92119",26,20,14
1510,"487 Neptune Ave, Encinitas, CA 92024",66,28,31
1511,"7860 E 29th Ave, Denver, CO 80238",78,50,86
1512,"281 E State St, Ilion, NY 13357",36,0,16
1513,"6514 E Milan Pl, Denver, CO 80237",55,62,55
1514,"1519 Anthony Heights Dr, Escondido, CA 92026",37,22,22
1515,"5116 70th St LOT 2, San Diego, CA 92115",77,46,50
1516,"525 W El Norte Pkwy SPACE 8, Escondido, CA 92026",45,25,0
1517,"Vyktorea III Plan, Gateway Commons",0,0,0
1518,"5011 Tierra Del Oro, Carlsbad, CA 92008",22,27,0
1519,"510 Saddlebrook Dr #344, San Jose, CA 95136",28,41,42
1520,"1615 Pentecost Way UNIT 7, San Diego, CA 92105",64,40,43
1521,"175 W Saint James St UNIT 807, San Jose, CA 95110",84,69,90
1522,"773 Regent Park Dr, San Jose, CA 95123",59,39,73
1523,"115 John St, Lockport, NY 14094",57,0,54
1524,"712 Wilder Blvd, Ames, IA 50014",27,0,46
1525,"946 Lawrence St, Houston, TX 77008",68,42,74
1526,"12703 NE 101st Pl, Kirkland, WA 98033",32,32,50
1527,"6300 W Mansfield Ave UNIT 60, Denver, CO 80235",9,23,26
1528,"505 Horning St, San Jose, CA 95112",73,45,92
1529,"127 Bermond Ave, Endicott, NY 13760",49,0,0
1530,"0 Meadow Glen Way W, Escondido, CA 92026",6,0,0
1531,"3701 Brook Ridge Ct UNIT 508, Des Moines, IA 50317",1,0,25
1532,"2720 Putnam St, Fort Worth, TX 76112",46,35,43
1533,"1305 Boon Ave #218, Sumas, WA 98295",0,0,21
1534,"516 22nd Ave, Longview, WA 98632",64,22,57
1535,"542 S Williams St, Denver, CO 80209",47,38,83
1536,"1538 W Pleasant St, Davenport, IA 52804",76,0,53
1537,"2703 S Stuart St, Denver, CO 80236",17,38,29
1538,"Vyktorea II-G Plan, Gateway Commons",0,0,0
1539,"4629 State Route 21, Atlanta, NY 14808",0,0,17
1540,"901 Caminito Madrigal UNIT D, Carlsbad, CA 92011",19,29,39
1541,"800 Bourland Rd, Keller, TX 76248",18,0,27
1542,"Plan 2 Plan, Asana at 3Roots",28,12,20
1543,"6515 134th Pl SE UNIT A4, Snohomish, WA 98296",30,0,41
1544,"617 S 3rd Ave W, Newton, IA 50208",59,0,45
1545,"4239 Gleane St, Flushing, NY 11373",95,96,54
1546,"334 Santana Row APT 205, San Jose, CA 95128",87,49,81
1547,"2829 W College Ave, Denver, CO 80219",54,46,69
1548,"5249 37th Ave NE, Seattle, WA 98105",83,65,85
1549,"3610 38th St, Des Moines, IA 50310",60,32,46
1550,"2330 S Quitman St, Denver, CO 80219",27,35,63
1551,"4656 Pocahontas Ave, San Diego, CA 92117",70,43,51
1552,"14106 Blisswood Dr, Houston, TX 77044",34,0,35
1553,"2500 Torrey Pines Rd UNIT 803, La Jolla, CA 92037",42,35,47
1554,"Plan B1 Plan, 188 West St James",86,69,90
1555,"643 Meade St, Denver, CO 80204",44,51,75
1556,"5009 NE 7th Pl, Renton, WA 98059",46,29,0
1557,"402 Maple Dr, Treynor, IA 51575",5,0,17
1558,"102 N Palouse St, Kennewick, WA 99336",59,0,43
1559,"721 28th Ave, Middle Amana, IA 52307",16,0,26
1560,"2151 Oakland Rd SPACE 329, San Jose, CA 95131",25,41,51
1561,"202 N Linn St #402, Iowa City, IA 52245",92,56,88
1562,"2713 Charlesworth Dr, Austin, TX 78745",61,39,71
1563,"348 Patent Rd, Peru, NY 12972",1,0,0
1564,"BENNET Plan, Green Valley Ranch",60,32,57
1565,"255-21 E Williston Ave, Floral Park, NY 11001",87,58,51
1566,"6012 Tulip Ct, Panora, IA 50216",0,0,4
1567,"104 S Williams St, Wheatland, IA 52777",33,0,33
1568,"1370 Santa Fe Dr, San Jose, CA 95118",26,31,53
1569,"130 W 67th St APT 17A, New York, NY 10023",99,100,72
1570,"7215 150th Dr NE, Lake Stevens, WA 98258",1,0,32
1571,"2208 N 5th St, Clinton, IA 52732",55,21,53
1572,"25 Tudor City Pl APT 408, New York, NY 10017",0,100,0
1573,"1308 E Augusta Ave, Spokane, WA 99207",76,40,81
1574,"14607 N Shady Slope Rd, Spokane, WA 99208",68,42,64
1575,"5001 Milton St, San Diego, CA 92110",25,27,28
1576,"66 Clermont Ave, Brooklyn, NY 11205",0,100,0
1577,"514 E 2nd St, Webster City, IA 50595",23,0,22
1578,"5120 70th St, San Diego, CA 92115",77,46,40
1579,"1112 S Mill St, Decorah, IA 52101",53,0,30
1580,"LOT 4 Twenty Matthews Pass, Bettendorf, IA 52722",29,0,0
1581,"4580 Point Loma Ave, San Diego, CA 92107",78,29,48
1582,"219 Jacob Ln, Encinitas, CA 92024",61,28,51
1583,"4529 S 248th Pl #F4, Kent, WA 98032",10,33,0
1584,"436 Private Road 7503, Moore, TX 78057",11,0,28
1585,"2572 Clovermere Rd, Oceanside, NY 11572",59,40,51
1586,"19 Hamilton Ave, Auburn, NY 13021",48,0,0
1587,"8521 Sunset Loch Dr, Spring, TX 77379",50,0,0
1588,"822 San Gabriel Pl, San Diego, CA 92109",67,28,77
1589,"208 Northfork Rd, San Marcos, TX 78666",0,0,29
1590,"805 Willow Glen Way, San Jose, CA 95125",71,36,72
1591,"2403 S Anderson St, Kennewick, WA 99337",15,0,28
1592,"406 Adeline Ave, San Jose, CA 95136",36,36,12
1593,"1127 Phelps Ave, San Jose, CA 95117",34,38,60
1594,"8975 Lawrence Welk Dr SPACE 123, Escondido, CA 92026",5,0,5
1595,"0 Cuyler Hill Rd #1, Truxton, NY 13158",0,0,0
1596,"736 W 186th St APT 5HJ, New York, NY 10033",0,100,0
1597,"3711 Baker St, San Diego, CA 92117",36,54,28
1598,"3432 Mission Mesa Way, San Diego, CA 92120",28,0,15
1599,"1920 Taylor Ave #C, Marshalltown, IA 50158",0,0,5
1600,"4107 W Crown Ave, Spokane, WA 99205",33,31,51
1601,"1721 Kellington Pl, Encinitas, CA 92024",52,0,0
1602,"2525 S Dayton Way APT 2101, Denver, CO 80231",53,42,65
1603,"13212 NE 12th Ave, Vancouver, WA 98685",62,29,73
1604,"2151 Oakland Rd SPACE 614, San Jose, CA 95131",25,41,51
1605,"6117 La Jolla Blvd, La Jolla, CA 92037",54,32,54
1606,"2084 Lincoln Ave, San Jose, CA 95125",56,39,53
1607,"219 E Springfield Loop, Shelton, WA 98584",12,0,0
1608,"2758 O Ave NW #A, Cedar Rapids, IA 52405",5,17,32
1609,"100 Judson Ave, Dobbs Ferry, NY 10522",26,0,0
1610,"2469 Pinard St, Dubuque, IA 52001",69,29,58
1611,"211 W Falconer St, Falconer, NY 14733",68,0,54
1612,"12011 12th Ave, College Point, NY 11356",93,58,51
1613,"10851 Ironwood Rd, San Diego, CA 92131",55,21,28
1614,"3926 Forest Village Dr, Kingwood, TX 77339",20,0,44
1615,"Plan 2 Plan, Atwood at 3Roots",28,12,20
1616,"27515 Nichols Pass, Boerne, TX 78015",1,0,14
1617,"2006 Canal Dr, Bay City, TX 77414",0,0,25
1618,"3125 Night Flight, San Antonio, TX 78245",0,0,24
1619,"175 E 74th St APT 4A, New York, NY 10021",100,100,61
1620,"5104 Westmont Ave UNIT 1, San Jose, CA 95130",24,32,49
1621,"8518 Fathom Cir APT 106, Austin, TX 78750",44,23,53
1622,"790 N Washington St APT 905, Denver, CO 80203",91,50,89
1623,"0 State Highway 11c, North Lawrence, NY 12967",0,0,26
1624,"10 Reser Rd, Walla Walla, WA 99362",12,19,61
1625,"2528 NW 192nd Pl, Shoreline, WA 98177",48,28,21
1626,"2820 Wall St, Sioux City, IA 51104",42,26,29
1627,"79 N Willow St, East Aurora, NY 14052",62,0,61
1628,"13228 385th St, Carson, IA 51525",1,0,16
1629,"240 Flor Borraja Ln, El Paso, TX 79927",1,0,28
1630,"117 Ocean Ave, Woodmere, NY 11598",34,0,0
1631,"4606 S Wildwood Ln, Spokane, WA 99206",0,0,0
1632,"17614 Fairlie Rd, San Diego, CA 92128",35,24,44
1633,"10017 Powell Ave, Johnston, IA 50131",6,0,40
1634,"318 E Clay St, Osceola, IA 50213",59,0,37
1635,"197 Coy Dr APT 4, San Jose, CA 95123",48,42,47
1636,"614 S Race St, Denver, CO 80209",56,38,81
1637,"525 Micah Ln, Ferris, TX 75125",5,0,19
1638,"18 Wilan Ln, Albany, NY 12203",29,39,22
1639,"3800 Alder Ave, Carlsbad, CA 92008",8,29,0
1640,"3133 Lone Bluff Way, San Jose, CA 95111",13,42,62
1641,"111 Edgeburt Dr, Encinitas, CA 92024",57,26,50
1642,"410 N Shore Dr, Clear Lake, IA 50428",54,0,66
1643,"9601 Forest Ln APT 1321, Dallas, TX 75243",50,38,49
1644,"5683 Keymar Dr, San Jose, CA 95123",66,45,50
1645,"2764 Coventry Dr, San Jose, CA 95127",39,45,57
1646,"2415 Rue Denise, La Jolla, CA 92037",14,0,12
1647,"1310 Magnolia St, Denver, CO 80220",79,53,66
1648,"955 Gretna Green Way LOT R1, Escondido, CA 92025",6,30,19
1649,"1218 Becket Dr, San Jose, CA 95121",27,39,37
1650,"1807 Lynx Gln, Escondido, CA 92026",59,18,42
1651,"608 NE Countryside Dr, Vancouver, WA 98684",32,32,56
1652,"38 Floradora Dr, Mastic, NY 11950",3,0,27
1653,"77 Shenado Pl, San Jose, CA 95136",47,39,58
1654,"12654 Sandy Crest Ct, San Diego, CA 92130",14,0,52
1655,"2313 Yaupon Range Dr, Leander, TX 78641",2,0,35
1656,"113 Rose Garden Way, Red Oak, TX 75154",0,0,0
1657,"2660 E 13th Ave, Denver, CO 80206",84,54,81
1658,"1881 Diamente Ct, San Jose, CA 95116",61,48,54
1659,"624 W 1st St, Monticello, IA 52310",55,0,32
1660,"7946 N Maple Rd, Wolcott, NY 14590",0,0,0
1661,"7307 Circulo Papayo, Carlsbad, CA 92009",26,23,36
1662,"6636-6638 Anderson Rd, Clinton, WA 98236",12,0,25
1663,"221 Heritage Hills Dr, Selah, WA 98942",8,0,4
1664,"125 Harrison St, Denver, CO 80206",77,48,61
1665,"5316 Los Altos Rd, Fort Worth, TX 76244",17,0,37
1666,"406 N Kossuth St, Rockport, TX 78382",47,0,0
1667,"4688 Berwick Dr, San Diego, CA 92117",41,36,66
1668,"1313 Terracina Ln, San Diego, CA 92103",70,62,32
1669,"4667 Ocean Blvd UNIT 106, San Diego, CA 92109",83,41,67
1670,"1040 Lower Elwha Rd, Port Angeles, WA 98363",0,0,61
1671,"3528 1/2 Meade Ave UNIT 56, San Diego, CA 92116",0,0,0
1672,"905 Conn St, Parkersburg, IA 50665",40,0,39
1673,"5 Fox Hollow Rd, Cortland, NY 13045",16,0,0
1674,"3259 S 280th Pl, Auburn, WA 98001",16,30,0
1675,"2510 E Garfield Ave, Alton, TX 78573",2,0,29
1676,"12740 SE 287th Pl, Federal Way, WA 98003",61,40,51
1677,"Copper Plan, The Legacy",0,0,0
1678,"146 7th Ave, Kirkland, WA 98033",82,50,44
1679,"1101 Ocean Ave, Bay Shore, NY 11706",28,0,0
1680,"2800 S University Blvd UNIT 120, Denver, CO 80210",46,33,80
1681,"3020 Rhett Cir, Des Moines, IA 50321",11,18,25
1682,"10 E Shadow Crk, Spring, TX 77389",3,0,26
1683,"2507 6th St, Emmetsburg, IA 50536",61,0,47
1684,"4510 Jutland Dr, San Diego, CA 92117",30,26,26
1685,"19044 SE 161st St, Renton, WA 98058",0,13,0
1686,"888 W E St UNIT 604, San Diego, CA 92101",87,79,81
1687,"1114 Grovewood Ln, Houston, TX 77008",43,39,40
1688,"360 Greengrove Ave, Uniondale, NY 11553",73,39,50
1689,"321 Frontier Trl, Wimberley, TX 78676",1,0,0
1690,"16715 Mount Everest St, San Antonio, TX 78232",37,28,29
1691,"2225 E Buchtel Blvd #305, Denver, CO 80210",61,56,73
1692,"651 N Humboldt St, Denver, CO 80218",83,47,96
1693,"790 N Washington St APT 910, Denver, CO 80203",91,50,89
1694,"Sagebrush Plan, Parkside at Tarob Court",0,0,0
1695,"4427 S 350th St, Auburn, WA 98001",6,0,23
1696,"1634 Gault St #8, Sumner, WA 98390",55,40,51
1697,"Plan C2 Plan, 188 West St James",86,69,90
1698,"1101 15th Ave, Milton, WA 98354",32,0,38
1699,"1308 Vista Ave, Escondido, CA 92026",15,12,0
1700,"Conrad II Plan, Spring Creek Ridge",0,0,0
1701,"3011 E Franjo Beach Dr, Shelton, WA 98584",0,0,2
1702,"1020 15th St APT 3B, Denver, CO 80202",92,89,93
1703,"581 Ash St, Ocheyedan, IA 51354",12,0,24
1704,"150 County Road 1340, Linden, TX 75563",0,0,19
1705,"6602 Dwane Ave, San Diego, CA 92120",6,38,7
1706,"2722 Camino Del Mar, Del Mar, CA 92014",40,0,52
1707,"11 Rakentine Ln, Garnerville, NY 10923",36,0,14
1708,"710 S 5th St, Knoxville, IA 50138",41,0,28
1709,"1750 Citracado Pkwy SPACE 53, Escondido, CA 92029",11,24,24
1710,"702 182nd St E, Spanaway, WA 98387",14,0,29
1711,"226 5th St, Encinitas, CA 92024",77,37,41
1712,"345 W 88th St APT 2F, New York, NY 10024",0,100,0
1713,"1501 Front St UNIT 410, San Diego, CA 92101",98,80,68
1714,"160 E Marjorie Ln, Shelton, WA 98584",1,0,0
1715,"51 E Olympic View Ct, Belfair, WA 98528",0,0,15
1716,"1691 State Highway 220, Mc Donough, NY 13801",4,0,10
1717,"17242 Libertad Dr, San Diego, CA 92127",28,21,18
1718,"654 N Eldridge Pkwy, Houston, TX 77079",54,33,69
1719,"817 N Race St, Denver, CO 80206",73,46,91
1720,"19406 Dickson Park Dr, Spring, TX 77373",35,0,0
1721,"2318 15th Ave S #E, Seattle, WA 98144",66,0,55
1722,"3300 SW 33rd St, Des Moines, IA 50321",7,17,18
1723,"119 10th St SW, Puyallup, WA 98371",67,0,50
1724,"4271 N 1st St SPACE 63, San Jose, CA 95134",1,36,64
1725,"180 Saint At Ave, Ogden, IA 50212",0,0,27
1726,"1163 S Shoshone St, Denver, CO 80223",75,38,69
1727,"4 Potato Field Ct, Southampton, NY 11968",11,0,0
1728,"3010 Roseann Ave, Escondido, CA 92027",14,29,11
1729,"8182 Beaver Lake Dr, San Diego, CA 92119",64,26,39
1730,"1026 S Elizabeth St, Denver, CO 80209",62,32,76
1731,"505 S Raleigh St, Denver, CO 80219",61,39,79
1732,"2754 Shadowdale Dr, Houston, TX 77043",55,37,53
1733,"502 Rialto Pl, San Jose, CA 95128",53,50,69
1734,"303 Vista De La Playa, La Jolla, CA 92037",50,0,44
1735,"4454 Ohio St #38-39, San Diego, CA 92116",0,0,0
1736,"2510 Navarra Dr UNIT 504, Carlsbad, CA 92009",4,15,10
1737,"1102 Broadway St, Audubon, IA 50025",21,0,15
1738,"12858 Caminito En Flor, Del Mar, CA 92014",23,0,19
1739,"647 E Adams St, Marengo, IA 52301",27,0,33
1740,"26 E 19th St #5C, Brooklyn, NY 11226",73,0,62
1741,"3340 Del Sol Blvd SPC 151, San Diego, CA 92154",52,61,32
1742,"7951 N Maple Rd, Wolcott, NY 14590",0,0,6
1743,"1903 23rd St, Des Moines, IA 50310",54,33,45
1744,"0 Pinecrest Ave, Escondido, CA 92025",32,22,14
1745,"101 11th St, Del Mar, CA 92014",32,0,0
1746,"3812 Alaska Ct, Granbury, TX 76048",0,0,19
1747,"124 E Louella Dr, Hurst, TX 76054",45,0,40
1748,"18525 194th Ave NE, Woodinville, WA 98077",15,0,18
1749,"192 15th St #301, Brooklyn, NY 11215",0,0,0
1750,"3395 Campo Azul Ct, Carlsbad, CA 92010",41,31,23
1751,"6231 Calle Mariselda UNIT 609, San Diego, CA 92124",30,16,46
1752,"1970 Columbia St UNIT 510, San Diego, CA 92101",98,67,63
1753,"357 N Lincoln St, Denver, CO 80203",92,53,94
1754,"801 4th St, Griswold, IA 51535",35,0,52
1755,"5746 Market St, San Diego, CA 92114",45,53,17
1756,"1258 Skyros Way, Encinitas, CA 92024",20,0,0
1757,"18634 Caminito Pasadero, San Diego, CA 92128",8,0,32
